abbreviation,full_name,id,name
MIA,Miami Heat,16,Heat
ATL,Atlanta Hawks,1,Hawks
PIT,Pittsburgh Ironmen,44,Pittsburgh Ironmen
HUS,Toronto Huskies,41,Toronto Huskies
AND,Anderson Packers,47,Anderson Packers
PHI,Philadelphia 76ers,23,76ers
CLR,Cleveland Rebels,39,Cleveland Rebels
MIN,Minnesota Timberwolves,18,Timberwolves
TOR,Toronto Raptors,28,Raptors
BKN,Brooklyn Nets,3,Nets
WAS,Washington Capitols,42,Washington Capitols
OKC,Oklahoma City Thunder,21,Thunder
CLE,Cleveland Cavaliers,6,Cavaliers
DET,Detroit Pistons,9,Pistons
DAL,Dallas Mavericks,7,Mavericks
CHA,Charlotte Hornets,4,Hornets
SAS,San Antonio Spurs,27,Spurs
PHX,Phoenix Suns,24,Suns
DN,Denver Nuggets,50,Denver Nuggets
HOU,Houston Rockets,11,Rockets
CHS,Chicago Stags,37,Chicago Stags
LAC,LA Clippers,13,Clippers
SAC,Sacramento Kings,26,Kings
MEM,Memphis Grizzlies,15,Grizzlies
ORL,Orlando Magic,22,Magic
POR,Portland Trail Blazers,25,Trail Blazers
JET,Indianapolis Jets,46,Indianapolis Jets
PRO,Providence Steamrollers,43,Providence Steamrollers
LAL,Los Angeles Lakers,14,Lakers
CHI,Chicago Bulls,5,Bulls
WAS,Washington Wizards,30,Wizards
SHE,Sheboygan Redskins,51,Sheboygan Redskins
BOS,Boston Celtics,2,Celtics
GSW,Golden State Warriors,10,Warriors
IND,Indiana Pacers,12,Pacers
BOM,St. Louis Bombers,38,St. Louis Bombers
UTA,Utah Jazz,29,Jazz
MIL,Milwaukee Bucks,17,Bucks
DEN,Denver Nuggets,8,Nuggets
DEF,Detroit Falcons,40,Detroit Falcons
WAT,Waterloo Hawks,48,Waterloo Hawks
NOP,New Orleans Pelicans,19,Pelicans
NYK,New York Knicks,20,Knicks
INO,Indianapolis Olympians,49,Indianapolis Olympians
BAL,Baltimore Bullets,45,Baltimore Bullets
